"campaignid","sample","latitude","longitude","date_time","site","location","status","depth","successful_habitat_forward","observer_habitat_forward"
"2020-06_south-west_stereo-BRUVs","01",-34.128599,114.930865,"2020-06-02T09:10:00+08:00","c1","South-west","No-take",46.7,"Yes","Claude Spencer"
"2020-06_south-west_stereo-BRUVs","02",-34.125316,114.928838,"2020-06-02T09:18:00+08:00","c1","South-west","No-take",44.4,"Yes","Claude Spencer"
"2020-06_south-west_stereo-BRUVs","03",-34.126906,114.925945,"2020-06-02T09:27:00+08:00","c1","South-west","No-take",39.3,"Yes","Claude Spencer"
"2020-06_south-west_stereo-BRUVs","04",-34.122634,114.920337,"2020-06-02T09:44:00+08:00","c2","South-west","No-take",44.1,"Yes","Claude Spencer"
"2020-06_south-west_stereo-BRUVs","05",-34.131497,114.915753,"2020-06-02T09:57:00+08:00","c3","South-west","No-take",44.1,"Yes","Claude Spencer"
"2020-06_south-west_stereo-BRUVs","06",-34.132842,114.912405,"2020-06-02T10:06:00+08:00","c3","South-west","No-take",43.2,"Yes","Claude Spencer"
"2020-06_south-west_stereo-BRUVs","07",-34.134771,114.910241,"2020-06-02T10:16:00+08:00","c3","South-west","No-take",43.9,"Yes","Claude Spencer"
"2020-06_south-west_stereo-BRUVs","08",-34.129352,114.911755,"2020-06-02T13:48:00+08:00","c3","South-west","No-take",39.6,"Yes","Claude Spencer"
"2020-06_south-west_stereo-BRUVs","09",-34.119541,114.916105,"2020-06-02T11:45:00+08:00","c2","South-west","No-take",43.8,"Yes","Claude Spencer"
"2020-06_south-west_stereo-BRUVs","10",-34.117294,114.918685,"2020-06-02T11:51:00+08:00","c2","South-west","No-take",45.7,"Yes","Claude Spencer"
"2020-06_south-west_stereo-BRUVs","11",-34.117752,114.92306,"2020-06-02T13:55:00+08:00","c2","South-west","No-take",45.08,"Yes","Claude Spencer"
"2020-06_south-west_stereo-BRUVs","12",-34.132262,114.928545,"2020-06-02T12:03:00+08:00","c1","South-west","No-take",40.1,"Yes","Claude Spencer"
"2020-06_south-west_stereo-BRUVs","13",-34.128506,114.930547,"2020-06-02T12:09:00+08:00","c1","South-west","No-take",45.2,"Yes","Claude Spencer"
"2020-06_south-west_stereo-BRUVs","14",-34.128381,114.925457,"2020-06-02T12:16:00+08:00","c1","South-west","No-take",35,"Yes","Claude Spencer"
"2020-06_south-west_stereo-BRUVs","15",-34.125012,114.91032,"2020-06-02T14:09:00+08:00","c3","South-west","No-take",43,"Yes","Claude Spencer"
"2020-06_south-west_stereo-BRUVs","16",-34.126181,114.906548,"2020-06-02T14:14:00+08:00","c3","South-west","No-take",40.9,"Yes","Claude Spencer"
"2020-06_south-west_stereo-BRUVs","17",-34.132142,114.92083,"2020-06-02T14:20:00+08:00","c3","South-west","No-take",40.2,"Yes","Claude Spencer"
"2020-06_south-west_stereo-BRUVs","18",-34.128679,114.924078,"2020-06-02T14:25:00+08:00","c1","South-west","No-take",35.8,"Yes","Claude Spencer"
"2020-06_south-west_stereo-BRUVs","20",-34.130219,114.820233,"2020-06-03T08:16:00+08:00","c8","South-west","No-take",51.7,"Yes","Claude Spencer"
"2020-06_south-west_stereo-BRUVs","21",-34.128151,114.817448,"2020-06-03T08:24:00+08:00","c8","South-west","No-take",52.4,"Yes","Claude Spencer"
"2020-06_south-west_stereo-BRUVs","22",-34.126271,114.819552,"2020-06-03T08:32:00+08:00","c8","South-west","No-take",51.9,"Yes","Claude Spencer"
"2020-06_south-west_stereo-BRUVs","23",-34.124217,114.817017,"2020-06-03T08:38:00+08:00","c8","South-west","No-take",51.3,"Yes","Claude Spencer"
"2020-06_south-west_stereo-BRUVs","24",-34.118739,114.826402,"2020-06-03T08:47:00+08:00","c7","South-west","No-take",49.8,"Yes","Claude Spencer"
"2020-06_south-west_stereo-BRUVs","25",-34.116829,114.828432,"2020-06-03T08:54:00+08:00","c7","South-west","No-take",48.4,"Yes","Claude Spencer"
"2020-06_south-west_stereo-BRUVs","26",-34.120881,114.828907,"2020-06-03T09:02:00+08:00","c7","South-west","No-take",48.4,"Yes","Claude Spencer"
"2020-06_south-west_stereo-BRUVs","27",-34.121824,114.832898,"2020-06-03T10:19:00+08:00","c7","South-west","No-take",47.8,"Yes","Claude Spencer"
"2020-06_south-west_stereo-BRUVs","28",-34.112916,114.852137,"2020-06-03T10:27:00+08:00","c6","South-west","No-take",44.7,"Yes","Claude Spencer"
"2020-06_south-west_stereo-BRUVs","29",-34.111084,114.855648,"2020-06-03T10:31:00+08:00","c6","South-west","No-take",43,"Yes","Claude Spencer"
